,orig_index,context_segment,context_segment_text,page_url
15,15,0,"Hur lämnar jag ett omdöme?
Du lämnar omdöme inne på Sålda eller Mina köp. Klicka på ”Lämna omdöme”, välj Positivt eller Negativt, skriv en kommentar och betygsätt gärna din motpart enligt de staplar som syns.Tänk på att du inte kan ändra ett lagt omdöme.",FAQs
16,16,0,"Jag har inte fått kontakt med köparen
Vi rekommenderar dig att ta kontakt med köparen via vår meddelandefunktion. Du hittar köparens uppgifter i Sålda listan - Visa orderbekräftelse. För en trevlig dialog med köparen och kom fram till en gemensam lösning som passar båda.Om du inte får någon kontakt och att affären därför inte slutförs kan du anmäla utebliven betalning så krediteras avgiften automatiskt och köparen blir anmäld till Tradera. ",FAQs
17,17,0,"Hur avbryter jag en aktiv annons?
Om du inte fått bud eller om reservationspriset inte uppnåtts kan du avbryta annonsen själv via Aktiva – Mer – Avbryt annons.Har du fått bud behöver vi få in både ditt och högsta budgivarens godkännande för att stänga annonsen. Du kan kontakta högsta budgivaren genom att klicka här. Välj sedan ""Mer"" vid annonsen och ""Kontakta högsta budgivare"". Både du och köparen behöver sedan inkomma med ert godkännande till vår kundservice.Kostnaden för eventuella tillval kommer debiteras även om du avbryter annonsen.",FAQs
18,18,0,"Vad händer när en avgift krediteras?
Krediteras en avgift innan fakturan har skapats kommer denna fortfarande att stå med på fakturaspecifikationen, däremot kommer det även att finnas en kreditpost som avser den krediterade avgiften i specifikationen. Avgifter som krediterats innan fakturering kommer att betalas ut via ditt Saldo på Tradera och du hittar dem under Betalningar &amp; Avgifter.Om en avgift som finns på en faktura krediteras kommer beloppet du ska betala att uppdateras inom några minuter. Du får ingen ny faktura utan kan istället utgå från beloppet under ”Att betala” inne på Fakturor – Mina fakturor.Klickar du på ”Visa faktura” kommer din originalfaktura visas. Denna visar beloppet som fakturan avsåg vid tiden den skapades. Betalar du originalbeloppet på din faktura kommer avgiften som krediterats hamna som ett tillgodobelopp till nästkommande faktura.",FAQs
19,19,0,"Hur gör jag för att spärra en medlem från att buda på mina auktioner?
Under inställningar anger du alias på den medlem du vill blockera från framtida budgivning och väljer ”Spärra budgivare”.Klicka här för att komma direkt till dina inställningar.",FAQs
20,20,0,"Hur svarar jag på en tvist som säljare?
Du kan svara på en aktiv tvist genom meddelande funktionen på siten. Vid berörd annons anges mer information om den aktiva tvisten. Är ditt konto avstängt kan du svara på en aktiv tvist via länken i mejlet du mottagit. Har du inte mottagit mejlet rekommenderar vi att du kollar din skräppost eller kontaktar vår kundservice. I tvistkommunikationen kan du bifoga begärt underlag eller annat underlag som motbevisar din motpart i tvisten. Har du problem med att bifoga underlag så kan du gå in på våra hjälpsidor och skicka in underlaget här.",FAQs
21,21,0,"Vad händer om köparen vill göra en retur av varan?
Du kan annullera ordern via Sålda listan genom att klicka på ”Mer” och väljer ”Annullera order” eller ”Ge rabatt”.Om köparen har betalat med Paynova så kommer återbetalningen hanteras av Paynova och en faktura på det återbetalade belopp kommer att skickas till dig. ",FAQs
22,22,0,"Jag har inte fått mitt vinnarmejl
Du har alltid tillgång till samma information som finns i vinnarmejl inne på Mina köp eller Sålda. Vid den aktuella auktionen, klicka på ”Mer” och välj ”Visa orderbekräftelse”.Har du rätt e-postadress angiven på ditt konto? Detta kontrollerar du via Inställningar.Om rätt adress är angiven beror uteblivet vinnarmejl oftast på dina inställningar för skräppost i din e-postklient. Kontrollera gärna papperskorgen så att det inte hamnat där. Om du trots allt inte hittar vinnarmejlet kan du behöva justera dina inställningar för skräppost. Lägg gärna till våra domäner @tradera.com och @tradera.se som betrodda avsändare.",FAQs
23,23,0,"Jag misstänker att någon obehörig kommit åt mitt konto
Om du misstänker att ditt konto används av någon obehörig rekommenderar vi att du omgående byter lösenord på ditt konto. Använd sedan funktionen ""Logga ut alla sessioner"" som du hittar i Inställningar för att logga ut eventuella obehöriga från ditt konto.Kontakta därefter vår kundservice så hjälper vi dig att återställa ditt konto. Du kan nå oss snabbast via chatt eller telefon, om kundservice är stängd kan du också kontakta oss via abuse@tradera.com.",FAQs
24,24,0,"Hur betalar jag min faktura till Tradera?
Du kan betala din faktura på flera sätt. Gå till Fakturor och klicka på Betala.  Där kan du betala fakturan med Swish, eller kort, följ bara instruktionerna för respektive betalsätt och tryck på ""Betala"". Du kan även betala fakturan direkt via Plusgiro. PlusGiro: 487 27 04-4 , ställt till Tradera Sweden AB.Tänk på att ange korrekt OCR-nummer när du betalar din faktura. OCR-nummer/fakturanummer hittar du längst upp till höger på din faktura samt via FakturorDet kan ta upp till fem bankdagar innan din betalning registrerats hos oss. For foreign users:You can pay your invoice via Tradea in Invoice and click on Pay. There you can pay your invoice via Swish or Card. Pick your preferred payment option, enter your payment information and click on Pay. You can also pay to Traderas bank account – PlusGiro:Bank account number: 9960 344872 7044Swift-adress/BIC: NDEASESSIBAN no: SE92 9500 0099 6034 4872 7044 Remember to always enter the OCR number in the payment message when you make a manual payment. You can find the OCR number for your invoice in the upper right corner on the PDF invoice and in the Invoices page.",FAQs
25,25,0,"Hur fungerar Traderabetalning?
Med Traderabetalning väljer din köpare själv att betala med Swish, kort, Klarna, Paynova, Google/Apple Pay eller PayPal. Vi sätter alltid in dina pengar på ditt bankkonto. Du behöver själv varken kortbetalning eller PayPal-konto. Vi sköter alla betalsätt åt dig och påminner köparen automatiskt om betalningen dröjer mer än 3 dagar, utan kostnad för dig. Avgifter för att ta emot betalning står vi för och du betalar inget extra.Det bankkonto du vill få dina pengar utbetalda till registrerar du på Betalningar &amp; Avgifter. Du kommer då att få verifiera dig med BankID. Oavsett hur köparen väljer att betala kommer du att få betalningen till ditt registrerade bankkonto 1-2 bankdagar efter genomförd betalning.Du får alltid ett bekräftelsemejl från oss när köparen har betalat. Objektet markeras även automatiskt som betalt i Sålda.",FAQs
26,26,0,"Kan Tradera ta bort ett omdöme?
Vi kan endast ta bort ett negativt omdöme om vi får ett godkännande från personen som lämnat det, alternativt att omdömet strider mot våra omdömesregler. Eftersom vi inte har insyn i affärerna efter det att de har avslutats på Tradera kan vi inte ta ställning för eller emot en annan medlem.För att komma i kontakt med den medlem du mottagit ett omdöme från kan du använda de kontaktuppgifter som finns i det vinnarmejl du tidigare mottagit. För att ta bort ett positivt omdöme behöver vi ett godkännande från båda parter i affären.",FAQs
27,27,0,"Obligatoriskt BankID
Under våren 2023 blir BankID obligatoriskt för alla svenska privatkonton på Tradera.Majoriteten av alla konton är redan verifieriade med BankID. Denna förändring påverkar endast användare som verifierar sig på annat sätt. Q: Varför gör ni denna ändring?A: På grund av kommande ändringar i vår betalningstjänst kan vi inte längre erbjuda andra verifieringsalternativ.Q: Vilken typ av BankID rekommenderar ni?A: Vi rekommenderar att du använder ett Mobilt BankID.Q: Jag får upp en ruta om att jag behöver verifiera mitt personnummer?A: På vissa äldre konton behöver vi verifiera personnumret. Skriv in ditt personnummer i rutan som dyker upp på Tradera och signera med BankID. Om du fått denna uppmaning har du till den 31/3 2023 på dig att fylla i uppgifterna för att kunna fortsätta använda kontot. Q: Hur skaffar jag BankID?A: Det är enkelt att skaffa BankID, logga in på din internetbank för att läsa mer eller kontakta din bank.Genomför aldrig en BankID-verifiering på uppmaning av någon som kontaktar dig. Verifiera endast när det är du som initierar en åtgärd. Blir du osäker, säkerställ att du är på www.tradera.com eller kontakta kundservice",FAQs
28,28,0,"DAC7 - FAQ
Vad är DAC7?DAC7 är ett EU-direktiv som ändrar reglerna kring delning av uppgifter om inkomst från försäljning på nätet. Denna ändring påverkar alltså inte enbart Tradera utan gäller för marknadsplatser med användare bosatta inom EU.Tidigare var delandet av uppgifter reaktiv, marknadsplatser har varit skyldiga att dela med sig av uppgifter om försäljning på skatteverkets begäran. Efter att DAC7 infördes blir delningen proaktiv, detta innebär att vi skickar underlag för alla som sålt fler än 30 varor (upplagda varor som ej sålts räknas inte) eller fått mer än 2000 Euro utbetalt under ett år. Innebär detta någon ändring i min skatteplikt?Ändringen påverkar endast delning av kontrolluppgifter. Det sker ingen förändring i om eller hur mycket du behöver skatta.Om du är osäker på om du behöver skatta för din försäljning eller behöver personlig rådgivning kring din skatt så rekommenderar vi att du hör av dig till Skatteverket för att få ett tillförlitligt svar eller gå in på Skatteverkets FAQ om DAC7Vilka uppgifter delar Tradera med Skatteverket?I de fall marknadsplatsen är skyldig att lämna ut uppgifter till Skatteverket kommer följande uppgifter att delas:Uppgifter om säljarens identitet som t.ex. personnummer, namn, adress och landAntal transaktioner och värdet på dessaAvgifter som vi debiterat, exempelvis provisionsavgift, tillval och uppläggningsavgifterVilket kontonummer/PayPal konto som pengarna betalats ut tillHur ofta delas uppgifterna till Skatteverket?Vi delar uppgifter 1 gång per år. Första tillfället blir i januari 2024.  Vi kommer att informera dig om vilka uppgifter som vi har lämnat till Skatteverket.Läs mer om förändringarna hos Skatteverket:",FAQs
29,29,0,"Nu lanserar vi PostNord spårbara paket till ombud
Nu har Tradera och PostNord påbörjat lanseringen av ett nytt och billigare spårbart paket. Det gör att du kan skicka spårbara paket till ombud. Precis som innan väljer du frakt när du skapar din annons och efter försäljningen bokar du enkelt frakt i Traderas app. Scanna koden hos ombudet och så är allt klart. Vad är max storlek på försändelsen?Max storlek är ungefär som måttet av en skokartong (15 cm x 20 cm x 35 cm). Vad kostar det?Du hittar alltid fraktpriserna på https://www.tradera.com/fraktÄr paketet försäkrat?Nej, det är ingen försäkring men PostNord har ansvar för leveransen. Däremot kan du få ersättning om något går fel, ersättningen är upp till 5000 kr men kräver att du följer tjänstevillkoren. Hur skiljer sig det paket från Skicka Lätt? Paketet är något mindre i storlek än Skicka Lätt vilket medför ett lägre pris som PostNord och Tradera tagit fram exklusivt för Tradera-användare. Paketet innefattar dessutom moms vilket är en positiv nyhet för alla företagare på Tradera. Vad händer om jag skickar utomlands?För utländska köpare blir det i nuläget närmaste motsvarande produkt, Spårbart brev utrikes eller postpaket utrikes. Vi arbetar med att kunna erbjuda en ny billigare spårbar fraktprodukt till fler länder inom EU. Mer information om denna kommer efter sommaren.Är du företag? Då är det ännu billigare, då priserna är inklusive moms.",FAQs
30,30,0,"Klarna Resell
Vad är Klarna Resell?Klarna Resell är en funktion i Klarna appen som gör det enklare för dig att sälja vidare en vara som du köpt med Klarna. Annonser som skapas på detta sätt får med en produktbild samt en beskrivning på varan.Behöver jag lägga till något i en annons skapad med Klarna Resell?Du behöver lägga till fraktsätt och pris men vi rekommenderar även att du beskriver skicket på varan samt lägger till egna bilder, speciellt om den inte längre är i nyskick när du säljer den. Du som säljare ansvarar för att varan du säljer beskrivs på ett korrekt sätt.Om du säljer vidare en oanvänd vara så är det även bra att ta med det i beskrivningen då det kan ha en positiv påverkan på slutpriset.Hur använder jag Klarna Resell?Leta upp varan du vill sälja i Klarnas appTryck på ""Sälj vidare""Korrigera och publicera annonsenKlart, nu är det bara att vänta på första budetJag får inte fram knappen ""Sälj vidare"" på min vara i Klarna appen?Första steget är att kontrollera så att du har den senaste versionen av appen, detta gör du enkelt genom att gå in i app affären på din telefon, sök sedan på Klarna så kommer du se om det finns någon uppdatering att ladda hem. Det finns även vissa varor som inte går att sälja vidare via Klarna appen, exempelvis Livsmedel, Tobak, Alkohol, Lotter, Biljetter, Presentkort m.m.Du kan läsa mer om Klarna Resell här",FAQs
31,31,0,"Vad är ett digitalt frimärke?
Ett digitalt frimärke är en kod som du skriver på brevet du ska skicka. Det har samma mått och viktbestämmelser som vanliga frimärken och därmed samma pris.Hur skickar jag med digitalt frimärke?Välj ""Frimärke/Digitalt frimärke"" när du skapar annonsenKlicka på knappen ""Till frakt &amp; porto"" från sålda listan när varan är såldBetala för frimärket med valfritt betalmedelSen är det bara att skriva koden med mörk penna i brevets högra hörn. Du skriver koden i 3 rader med 4 tecken på varje rad. Mottagarens adress skriver du precis som med vanliga frimärken direkt på brevet.Kan jag fortfarande skicka med ett vanligt frimärke?Självklart kan du det! Då väljer du ""Frimärke/Digitalt frimärke"" när du skapar annonsen men istället för att gå ""Till frakt &amp; porto"" så markerar du varan som skickad på knappen eller från mer-menyn.",FAQs
32,32,0,"Vilken valuta får jag betalt i?
Oavsett vilken valuta du har inställt på Tradera så får du betalt för dina försäljningar i SEK. När köpare budar i sin valuta konverteras det automatiskt till ett belopp i SEK. Köpare har möjlighet att se budhistoriken både i sin egna valuta och i SEK. Växelkursen uppdateras löpande från European Central Bank. Det konverterade beloppen som visas kan därför ändras från dag till dag. Ex 100 DKK kan imorgon visas som 101 DKK för köparen.Bra att veta! Om en köpare betalar i annan valuta än SEK från utlandet lägger banken på en växlingsavgift på ca 1-3%. Därför överensstämmer inte alltid summan på deras bankutdrag med summan på Tradera.",FAQs
33,33,0,"Vad får jag sälja och inte sälja?
På Tradera kan du finna allt möjligt till salu. Vi har dock vissa regler och begränsningar på vad som får säljas och inte, baserat på bland annat befintlig lagstiftning. Här kan du läsa mer om objekt du inte får sälja på Tradera.",FAQs
34,34,0,"Vad är en fastprisannons?
En fastprisannons är en annons som enbart har ett fast pris och man kan alltså inte lägga bud på den, utan man kan enbart köpa den direkt.Det går heller inte att välja hur lång en fastprisannons ska vara. Den ligger uppe i 30 dagar, eller tills den blir såld.Du kan hitta mer information om våra annonsformat här!",FAQs
35,35,0,"Jag har fått ett meddelande om att verifikation krävs för att hantera utbetalningar, vad innebär det?
För att få fortsätta hantera utbetalningar till ditt konto efter att du passerat 2500 Euro under ett kalenderår så krävs det en verifikation av ditt konto, detta är på grund av EU´s PSD2 direktiv.Så fort verifikationen har godkänts så kommer vi hantera dina utbetalningar som vanligt igen. Du kan läsa mer om hur du får ditt konto verifierat här",FAQs
36,36,0,"Ångrat bud
Om du leder budgivningen på auktionen så behöver vi få in båda parters godkännande på att ta bort budet, då bud på Tradera alltid är bindande.Du kan kontakta säljaren via Traderameddelande för att få ett godkännande att ta bort budet, vi godkänner endast borttagning av bud om ni antingen fått ett godkännande via Traderameddelande eller att säljaren hör av sig till vår kundservice och godkänner. Ett godkännande via SMS, Samtal eller E-post räcker alltså inte och vi kommer inte att kunna ta bort ett bud baserat på ett sådant underlag.Efter att du fått ok från säljaren kan du kontakta vår kundservice så hjälper vi dig att ta bort budet. Vill du veta hur man avbryter ett redan genomfört köp? Läs mer här.",FAQs
